crop_name,season,soil_type,watering_frequency,fertilizer,harvest_time,description
Tomato Variant 1,Summer,Loamy soil,Every 2 days,Organic compost,90 days,Tomatoes grow well in warm climates with full sunlight and regular watering. Rich loamy soil improves yield.
Wheat Variant 1,Winter,Clay loam,Every 5 days,Urea and DAP,120 days,Wheat prefers cool weather and well-drained fertile soil. Moderate irrigation gives best yield.
Rice Variant 1,Monsoon,Clay soil,Daily,Organic manure and NPK,150 days,"Rice thrives in humid, warm conditions and requires standing water throughout most of its growth."
Maize Variant 1,Summer,Sandy loam,Every 3 days,Nitrogen-based,110 days,Maize grows best in hot weather and well-drained fertile soil with regular irrigation.
Potato Variant 1,Winter,Well-drained loam,Every 4 days,Compost and urea,100 days,Potatoes prefer cool weather and loose loamy soil with consistent moisture.
Onion Variant 1,Winter,Light loam,Every 3 days,FYM and superphosphate,120 days,"Onions need full sun, light loamy soil, and consistent watering."
Garlic Variant 1,Winter,Sandy loam,Every 3 days,Organic compost,150 days,"Garlic grows in cool climates and needs loose, fertile soil for bulb formation."
Cabbage Variant 1,Winter,Loamy soil,Every 2 days,Compost and NPK,90 days,Cabbage grows best in cool climates and rich soil with ample water.
Cauliflower Variant 1,Winter,Loamy soil,Every 3 days,Ammonium sulphate,100 days,Cauliflower prefers cool weather and fertile soil with regular watering.
Spinach Variant 1,All seasons,Sandy loam,Every 2 days,Organic compost,45 days,Spinach grows throughout the year with proper watering and shade.
Tomato Variant 2,Summer,Loamy soil,Every 2 days,Organic compost,90 days,Tomatoes grow well in warm climates with full sunlight and regular watering. Rich loamy soil improves yield.
Wheat Variant 2,Winter,Clay loam,Every 5 days,Urea and DAP,120 days,Wheat prefers cool weather and well-drained fertile soil. Moderate irrigation gives best yield.
Rice Variant 2,Monsoon,Clay soil,Daily,Organic manure and NPK,150 days,"Rice thrives in humid, warm conditions and requires standing water throughout most of its growth."
Maize Variant 2,Summer,Sandy loam,Every 3 days,Nitrogen-based,110 days,Maize grows best in hot weather and well-drained fertile soil with regular irrigation.
Potato Variant 2,Winter,Well-drained loam,Every 4 days,Compost and urea,100 days,Potatoes prefer cool weather and loose loamy soil with consistent moisture.
Onion Variant 2,Winter,Light loam,Every 3 days,FYM and superphosphate,120 days,"Onions need full sun, light loamy soil, and consistent watering."
Garlic Variant 2,Winter,Sandy loam,Every 3 days,Organic compost,150 days,"Garlic grows in cool climates and needs loose, fertile soil for bulb formation."
Cabbage Variant 2,Winter,Loamy soil,Every 2 days,Compost and NPK,90 days,Cabbage grows best in cool climates and rich soil with ample water.
